"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","df.int","iterations","robynPareto","total_spend","mean_spend","spend_share","effect_share","roi_mean","roi_total","cpa_total","mean_response","next_unit_response","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"11","search_S",153079.05342279,5972895.4462402,0.0167006780516187,30166.1386173748,0.0106874743166048,5972895.4462402,0.0167006780516187,30166.1386173748,0.0106874743166048,TRUE,0.7527338,0.878202348462105,0.937511194705203,0.962114094672783,0.0779939743811884,0.331995288168655,0.317665742451741,0.331995288168655,0.00829527564600469,0,178867.282799294,0.00263185,65481090.2648517,1e-04,"1_138_7",1,138,7,1,2199,3,8975900,53747.9041916168,0.140475876416369,0.142060046013139,2.84366838442104e-05,0.66543694183761,1.50277199405024,1.52841215878592,0.000222813581825632,2,TRUE,0.646643686146597,0.0156083021717092,0.438082581069162,0.855674048839068,0.368431206033228
"12","newsletter",226702.893474918,6058840.57931292,0.0169409872970207,30600.2049460249,0.0108412584252702,6058840.57931292,0.0169409872970207,30600.2049460249,0.0108412584252702,TRUE,0.7527338,0.878202348462105,0.937511194705203,0.962114094672783,0.0779939743811884,0.331995288168655,0.317665742451741,0.331995288168655,0.00829527564600469,0,178867.282799294,0.00263185,65481090.2648517,1e-04,"1_138_7",1,138,7,1,2199,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,TRUE,NA,NA,NA,NA,0.0265169077800469
"13","(Intercept)",843588.305042878,167030484.39849,0.467140853301976,843588.305042878,0.297559026614311,167030484.39849,0.467140853301976,843588.305042878,0.297559026614311,TRUE,0.7527338,0.878217197241767,0.938305203646911,0.962676454617607,0.0779892199765445,0.329879309436257,0.315299290145063,0.329879309436257,0.00939063886906176,0,178867.282799294,0.00263185,65481090.2648517,1e-04,"1_142_3",1,142,3,1,2259,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"14","trend",0.0455602885090803,16223476.3862729,0.0453728469380916,81936.7494256207,0.02890156164717,16223476.3862729,0.0453728469380916,81936.7494256207,0.02890156164717,TRUE,0.7527338,0.878217197241767,0.938305203646911,0.962676454617607,0.0779892199765445,0.329879309436257,0.315299290145063,0.329879309436257,0.00939063886906176,0,178867.282799294,0.00263185,65481090.2648517,1e-04,"1_142_3",1,142,3,1,2259,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"15","season",0.306749860745235,-2335970.79745897,-0.00653310319695957,-11797.8323103988,-0.0041614511218985,-2335970.79745897,-0.00653310319695957,-11797.8323103988,-0.0041614511218985,FALSE,0.7527338,0.878217197241767,0.938305203646911,0.962676454617607,0.0779892199765445,0.329879309436257,0.315299290145063,0.329879309436257,0.00939063886906176,0,178867.282799294,0.00263185,65481090.2648517,1e-04,"1_142_3",1,142,3,1,2259,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"16","holiday",0.73144289236242,2090529.51845849,0.00584666773027988,55013.934696276,0.019405073257405,2090529.51845849,0.00584666773027988,55013.934696276,0.019405073257405,TRUE,0.7527338,0.878217197241767,0.938305203646911,0.962676454617607,0.0779892199765445,0.329879309436257,0.315299290145063,0.329879309436257,0.00939063886906176,0,178867.282799294,0.00263185,65481090.2648517,1e-04,"1_142_3",1,142,3,1,2259,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"17","competitor_sales_B",0.114860416856373,123887390.972937,0.346480833967912,625693.89380271,0.220701098966739,123887390.972937,0.346480833967912,625693.89380271,0.220701098966739,TRUE,0.7527338,0.878217197241767,0.938305203646911,0.962676454617607,0.0779892199765445,0.329879309436257,0.315299290145063,0.329879309436257,0.00939063886906176,0,178867.282799294,0.00263185,65481090.2648517,1e-04,"1_142_3",1,142,3,1,2259,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"18","events",0.681719931695696,1989533.2374638,0.00556420738147536,994766.6187319,0.350884175383664,1989533.2374638,0.00556420738147536,994766.6187319,0.350884175383664,TRUE,0.7527338,0.878217197241767,0.938305203646911,0.962676454617607,0.0779892199765445,0.329879309436257,0.315299290145063,0.329879309436257,0.00939063886906176,0,178867.282799294,0.00263185,65481090.2648517,1e-04,"1_142_3",1,142,3,1,2259,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"19","tv_S",320941.493439918,14390007.5214547,0.0402451110454601,72676.8056639127,0.025635300325426,14390007.5214547,0.0402451110454601,72676.8056639127,0.025635300325426,TRUE,0.7527338,0.878217197241767,0.938305203646911,0.962676454617607,0.0779892199765445,0.329879309436257,0.315299290145063,0.329879309436257,0.00939063886906176,0,178867.282799294,0.00263185,65481090.2648517,1e-04,"1_142_3",1,142,3,1,2259,3,21871508.1,254319.861627907,0.342296512761419,0.345099529216634,0.0402459127076052,0.657933941073534,1.51990942794094,10235.334950887,0.179807696560601,2,FALSE,0.600161696595261,0.00710505744350078,0.505041251438664,0.695133122660817,0.555028647937318
"20","ooh_S",221620.055182148,10496884.0081534,0.0293570564094287,53014.5656977446,0.0186998355371931,10496884.0081534,0.0293570564094287,53014.5656977446,0.0186998355371931,TRUE,0.7527338,0.878217197241767,0.938305203646911,0.962676454617607,0.0779892199765445,0.329879309436257,0.315299290145063,0.329879309436257,0.00939063886906176,0,178867.282799294,0.00263185,65481090.2648517,1e-04,"1_142_3",1,142,3,1,2259,3,15661807,190997.646341463,0.245112586435792,0.251735082421219,0.445826204674369,0.670221769949881,1.49204344716344,85151.755770152,0.261417981557315,2,FALSE,0.640539081307268,0.0139188633764839,0.454393430088924,0.826784899906185,0.566981710636737
