DATE,display_S,display_I,b_branded_S,b_branded_I,b_category_S,b_category_I,b_competitive_S,b_competitive_I,p_auto_S,p_auto_I,p_brand_S,p_brand_I,p_category_S,p_category_I,p_competitive_S,p_competitive_I,revenue
9/15/2019,0,0,359.19,19365,1370.33,361876,0,0,9015.21,3239253,288.99,30839,22150.18,4260466,2216.03,696017,72489.79
9/22/2019,0,0,532.33,28630,1589.9,382879,0,0,8735.3,2930675,283.41,27128,18217.93,3554764,2342.96,745853,70143.73
9/29/2019,0,0,172.68,8906,262.89,54069,0,0,1111.51,434244,158.13,22139,7049.88,1299238,569.05,214971,32134.51
10/6/2019,0,0,225.34,10431,358.19,113177,0,0,1658.21,702099,246.74,27782,10190.57,1802702,727.33,268410,42644.96
10/13/2019,0,0,677.79,36737,559.52,176327,0,0,3632.8,1629834,684.14,69441,16573.46,3723765,1771.68,594825,64717.25
10/20/2019,0,0,1036.73,60060,869.67,404522,0,0,5456.95,2796862,1059.45,116938,24336.25,6263968,3327.65,1041152,92047.9
10/27/2019,0,0,1109.86,60930,1011.44,484254,0,0,5577.89,3209399,1369.6,141421,22325.55,6242985,3014.41,1001175,87161.78
11/3/2019,0,0,715.83,29342,1212.59,496411,0,0,5402.16,2788554,1332.64,150039,17676.79,4566249,2721.05,861515,83591.52
11/10/2019,0,0,711.55,31999,1223.95,457104,0,0,5690.16,2969275,1268.85,131234,16601.5,4011087,2576.73,769232,78050.76
11/17/2019,0,0,709.93,29323,1082.76,430582,0,0,5113.93,2900820,1158.61,120822,14823.13,3506791,2308.2,704728,70413.62
11/24/2019,0,0,698.6,33769,881.92,354681,0,0,4105.82,2560698,1112.49,117591,13469.16,3307017,1996.78,707229,53934.06
12/1/2019,0,0,711.26,37955,995.04,488947,0,0,4196.97,2304179,921.99,113619,15151.43,3690401,2188.35,783726,63143.48
12/8/2019,0,0,706.04,31527,1069.13,480731,0,0,4390.59,2471712,894.06,100080,15478.25,3834753,2146.24,899820,68167.97
12/15/2019,0,0,704.68,37395,983.37,593530,0,0,5061.17,2646871,846.27,85887,15058.4,3936370,1824.11,689129,63397.47
12/22/2019,0,0,667.58,33478,722.68,445828,0,0,4778.86,2727166,847.66,86572,14355.88,3663703,1413.17,475612,51445.84
12/29/2019,0,0,919.69,37063,951.7,589593,0,0,7196.63,3567812,1011.07,111391,18643.71,4556317,1669.35,554458,77235.66
